Id;Nombre;PVP;PVP_Unidad_Medida;Cantidad_Neta;URL_Producto;URL_Imagen;UltActualizacion
7861082;Patata (especial guarnición) calibre 30/50...;1,15 €;1,15 € / el kilo;0;https://www.gadisline.com/producto/?productID=7861082;https://www.gadisline.com/resources/images/7861082_F_001.jpg;02/11/2019 14:25:19
7861060;Patata cocer 1ª 45/80 malla 3 kilos;3,69 €;1,23 € / el kilo;0;https://www.gadisline.com/producto/?productID=7861060;https://www.gadisline.com/resources/images/7861060_F_001.jpg;02/11/2019 14:25:19
7861101;Patata ecológica 1ª cal.45-80 bolsa 2 kg.;3,69 €;1,85 € / el kilo;0;https://www.gadisline.com/producto/?productID=7861101;https://www.gadisline.com/resources/images/7861101_F_001.jpg;02/11/2019 14:25:19
7861075;Patata kennebec categoría 1ª calibre 45/80...;3,75 €;1,25 € / el kilo;0;https://www.gadisline.com/producto/?productID=7861075;https://www.gadisline.com/resources/images/7861075_F_001.jpg;02/11/2019 14:25:19
7861105;Patata lavada 45/80mm bolsa 5 kg. unidad;4,15 €;0,83 € / el kilo;0;https://www.gadisline.com/producto/?productID=7861105;https://www.gadisline.com/resources/images/7861105_F_001.jpg;02/11/2019 14:25:19
7861062;Patata monalisa 1ª calibre 45/80 freir/cocer...;5,20 €;1,30 € / el kilo;0;https://www.gadisline.com/producto/?productID=7861062;https://www.gadisline.com/resources/images/7861062_F_001.jpg;02/11/2019 14:25:19
7861059;Patata roja 1ª calibre 45/80 mm freir/cocer 3...;3,69 €;1,23 € / el kilo;0;https://www.gadisline.com/producto/?productID=7861059;https://www.gadisline.com/resources/images/7861059_F_001.jpg;02/11/2019 14:25:20
7861051;Patata rústica (freir)calibre 45/80mm malla 3 kg.;3,69 €;1,23 € / el kilo;0;https://www.gadisline.com/producto/?productID=7861051;https://www.gadisline.com/resources/images/7861051_F_001.jpg;02/11/2019 14:25:20
7861033;Patata selección PRADO 1ª calibre 40/80...;3,15 €;1,05 € / el kilo;0;https://www.gadisline.com/producto/?productID=7861033;https://www.gadisline.com/resources/images/7861033_F_001.jpg;02/11/2019 14:25:20
7861020;Patatas asar categoría 1ª calibre 30/45 mm. kilo;0,53 €;0,53 €;0;https://www.gadisline.com/producto/?productID=7861020;https://www.gadisline.com/resources/images/7861020_F_001.jpg;02/11/2019 14:25:20
7894982;Acelga IFA ELIGES bolsa 300 grs.;1,00 €;3,33 € / el kilo;0;https://www.gadisline.com/producto/?productID=7894982;https://www.gadisline.com/resources/images/7894982_F_001.jpg;02/11/2019 14:25:20
7894952;Brotes classics FLORETTE bolsa 100 grs.;1,75 €;17,50 € / el kilo;0;https://www.gadisline.com/producto/?productID=7894952;https://www.gadisline.com/resources/images/7894952_F_001.jpg;02/11/2019 14:25:20
